series_idx,window_start,window_end,anchor_index,curv_pred,curv_real,left_radius_pred,right_radius_pred,left_radius_real,right_radius_real,side_pred,side_real,iid_avg_window,sonar_distance_last
40,40,44,44,-0.00039999998989515007,-0.0007142857066355646,850.0,2500.0,900.0,1400.0,right,right,6.017306804656982,0.46332797408103943
41,41,45,45,-0.0010000000474974513,-0.0010000000474974513,500.0,1000.0,600.0,1000.0,right,right,4.146721839904785,0.9182755947113037
42,42,46,46,-0.0010526315309107304,-0.0011111111380159855,350.0,950.0,400.0,900.0,right,right,1.4534074068069458,0.8820943832397461
43,43,47,47,-0.0007692307699471712,-0.0011111111380159855,300.0,1300.0,350.0,900.0,right,right,-0.9426628947257996,0.8085938692092896
44,44,48,48,-0.0007692307699471712,-0.0010000000474974513,300.0,1300.0,350.0,1000.0,right,right,-2.908290386199951,0.8818656206130981
45,45,49,49,-0.0010526315309107304,-0.0010000000474974513,350.0,950.0,450.0,1000.0,right,right,-5.259396553039551,0.990184485912323
46,46,50,50,-0.0010526315309107304,-0.0011111111380159855,350.0,950.0,400.0,900.0,right,right,-4.701103210449219,0.8813167810440063
47,47,51,51,-0.001176470541395247,-0.0010000000474974513,350.0,850.0,400.0,1000.0,right,right,-4.634449005126953,0.8270640969276428
48,48,52,52,-0.0008695652359165251,-0.000606060610152781,350.0,1150.0,300.0,1650.0,right,right,-2.86336088180542,0.5727553367614746
49,49,53,53,-0.001818181830458343,-0.001818181830458343,250.0,550.0,250.0,550.0,right,right,-2.3826358318328857,0.6092439293861389
50,50,54,54,-0.0015384615398943424,-0.0008695652359165251,250.0,650.0,nan,1150.0,right,right,-1.6258331537246704,0.5909667015075684
51,51,55,55,-0.0009523809421807528,-0.00039999998989515007,250.0,1050.0,nan,2500.0,right,right,0.2380312979221344,0.3544192314147949
52,52,56,56,-0.0024999999441206455,-0.0015384615398943424,nan,400.0,nan,650.0,right,right,0.20847778022289276,0.4272674024105072
53,53,57,57,-0.0020000000949949026,-0.00039999998989515007,nan,500.0,nan,2500.0,right,right,-1.1977832317352295,0.44556480646133423
54,54,58,58,-0.0005714285653084517,-0.00039999998989515007,nan,1750.0,nan,2500.0,right,right,-2.3616206645965576,0.4637971818447113
55,55,59,59,-0.00039999998989515007,-0.00039999998989515007,nan,2500.0,700.0,2500.0,right,right,-3.982334852218628,2.39017391204834
56,56,60,60,-0.00039999998989515007,-0.00039999998989515007,nan,2500.0,1000.0,2500.0,right,right,-6.277771472930908,2.2267062664031982
57,57,61,61,0.0,-0.00039999998989515007,2500.0,2500.0,1050.0,2500.0,straight_open,right,-6.746543884277344,2.045253038406372
58,58,62,62,0.0,-0.0005263157654553652,2500.0,2500.0,1000.0,1900.0,straight_open,right,-7.191754341125488,1.8993334770202637
59,59,63,63,0.0,-0.000606060610152781,2500.0,2500.0,950.0,1650.0,straight_open,right,-6.099287986755371,1.7360265254974365
60,60,64,64,-0.00039999998989515007,-0.0006666666595265269,950.0,2500.0,850.0,1500.0,right,right,-4.702946662902832,1.5357589721679688
61,61,65,65,-0.00074074073927477,-0.0007692307699471712,800.0,1350.0,750.0,1300.0,right,right,-3.9952285289764404,1.3361893892288208
62,62,66,66,-0.0011111111380159855,-0.0008695652359165251,650.0,900.0,650.0,1150.0,right,right,-3.651228666305542,1.1360509395599365
63,63,67,67,-0.0013333333190530539,-0.0010526315309107304,500.0,750.0,500.0,950.0,right,right,-3.1390960216522217,0.9179902672767639
64,64,68,68,-0.001176470541395247,-0.0009090909152291715,350.0,850.0,350.0,1100.0,right,right,-3.4360415935516357,0.7905892729759216
65,65,69,69,-0.0007142857066355646,-0.0006249999860301614,300.0,1400.0,350.0,1600.0,right,right,-4.229859352111816,0.7364161610603333
66,66,70,70,-0.00039999998989515007,-0.0005555555690079927,250.0,2500.0,300.0,1800.0,right,right,-4.862832069396973,0.7365698218345642
67,67,71,71,-0.00039999998989515007,-0.0005263157654553652,350.0,2500.0,400.0,1900.0,right,right,-4.5514373779296875,0.9727213382720947
68,68,72,72,-0.00039999998989515007,-0.0005128204938955605,350.0,2500.0,500.0,1950.0,right,right,-4.827889442443848,1.080910086631775
69,69,73,73,-0.00039999998989515007,-0.0005882352706976235,400.0,2500.0,550.0,1700.0,right,right,-5.737727165222168,1.1906393766403198
70,70,74,74,-0.0004081632650922984,-0.0006666666595265269,450.0,2450.0,550.0,1500.0,right,right,-5.908095359802246,1.2624366283416748
71,71,75,75,-0.0009523809421807528,-0.0007692307699471712,500.0,1050.0,500.0,1300.0,right,right,-6.186993598937988,0.9911576509475708
72,72,76,76,-0.0008333333535119891,-0.0007142857066355646,400.0,1200.0,450.0,1400.0,right,right,-7.267599582672119,0.918418288230896
73,73,77,77,-0.0008695652359165251,-0.0006451613153330982,400.0,1150.0,400.0,1550.0,right,right,-7.762420654296875,0.844932496547699
74,74,78,78,-0.000606060610152781,-0.0005405405536293983,350.0,1650.0,400.0,1850.0,right,right,-6.731738090515137,0.8456349968910217
75,75,79,79,-0.00039999998989515007,-0.00039999998989515007,400.0,2500.0,450.0,2500.0,right,right,-7.080784797668457,0.9719666838645935
76,76,80,80,-0.00039999998989515007,-0.0005128204938955605,450.0,2500.0,500.0,1950.0,right,right,-7.028840065002441,1.1542266607284546
77,77,81,81,-0.00039999998989515007,-0.0005882352706976235,350.0,2500.0,450.0,1700.0,right,right,-6.927274227142334,1.0091339349746704
78,78,82,82,-0.00039999998989515007,-0.0006666666595265269,350.0,2500.0,450.0,1500.0,right,right,-4.966640472412109,0.5546042919158936
79,79,83,83,-0.0005714285653084517,-0.0009090909152291715,250.0,1750.0,350.0,1100.0,right,right,-5.709043025970459,0.7905892729759216
80,80,84,84,-0.00039999998989515007,-0.0008333333535119891,350.0,2500.0,350.0,1200.0,right,right,-4.706543445587158,0.7904245853424072
81,81,85,85,-0.00039999998989515007,-0.0007142857066355646,400.0,2500.0,400.0,1400.0,right,right,-2.158313751220703,0.518132209777832
82,82,86,86,-0.0006666666595265269,-0.0010526315309107304,250.0,1500.0,300.0,950.0,right,right,-1.3128453493118286,0.7542433738708496
83,83,87,87,-0.0008695652359165251,-0.0009523809421807528,300.0,1150.0,350.0,1050.0,right,right,-1.400758981704712,0.3728125989437103
84,84,88,88,-0.0014285714132711291,-0.0013333333190530539,300.0,700.0,250.0,750.0,right,right,0.5872828364372253,0.3180403411388397
85,85,89,89,-0.0028571428265422583,-0.0024999999441206455,nan,350.0,250.0,400.0,right,right,1.169811725616455,0.5002995133399963
86,86,90,90,-0.002222222276031971,-0.0016666667070239782,nan,450.0,nan,600.0,right,right,-0.6847336888313293,0.44544583559036255
87,87,91,91,-0.0016666667070239782,-0.0013333333190530539,nan,600.0,nan,750.0,right,right,-1.3804223537445068,0.46342670917510986
88,88,92,92,-0.0009090909152291715,-0.0008333333535119891,nan,1100.0,nan,1200.0,right,right,-3.317981719970703,0.5181047916412354
89,89,93,93,-0.0006451613153330982,-0.0005000000237487257,nan,1550.0,350.0,2000.0,right,right,-4.960019111633301,0.8268921971321106
90,90,94,94,-0.00039999998989515007,-0.00039999998989515007,300.0,2500.0,450.0,2500.0,right,right,-5.108190059661865,0.5546042919158936
91,91,95,95,-0.00039999998989515007,-0.00039999998989515007,450.0,2500.0,550.0,2500.0,right,right,-5.796760559082031,1.2454253435134888
92,92,96,96,-0.00039999998989515007,-0.00039999998989515007,450.0,2500.0,500.0,2500.0,right,right,-5.318121433258057,1.1186821460723877
93,93,97,97,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,500.0,2500.0,right,right,-5.155279159545898,1.0631287097930908
94,94,98,98,-0.00039999998989515007,-0.00039999998989515007,550.0,2500.0,550.0,2500.0,right,right,-4.677487850189209,1.153869867324829
95,95,99,99,0.0,-0.0005128204938955605,2500.0,2500.0,650.0,1950.0,straight_open,right,-5.153457164764404,1.227371335029602
96,96,100,100,0.0,-0.0005882352706976235,2500.0,2500.0,700.0,1700.0,straight_open,right,-5.464624881744385,1.8818308115005493
97,97,101,101,0.0,-0.0005714285653084517,2500.0,2500.0,900.0,1750.0,straight_open,right,-5.055751800537109,1.6275439262390137
98,98,102,102,0.0,-0.0007692307699471712,2500.0,2500.0,800.0,1300.0,straight_open,right,-4.911914825439453,1.572428822517395
99,99,103,103,-0.0006896551931276917,-0.0008695652359165251,900.0,1450.0,750.0,1150.0,right,right,-5.1726579666137695,1.3356406688690186
100,100,104,104,-0.0010526315309107304,-0.0009523809421807528,700.0,950.0,700.0,1050.0,right,right,-4.669851303100586,1.1908233165740967
101,101,105,105,-0.0012499999720603228,-0.001176470541395247,550.0,800.0,550.0,850.0,right,right,-3.4933063983917236,1.0088733434677124
102,102,106,106,-0.0016666667070239782,-0.0015384615398943424,350.0,600.0,400.0,650.0,right,right,-3.1902475357055664,0.8276230692863464
103,103,107,107,-0.0014285714132711291,-0.0012499999720603228,250.0,700.0,300.0,800.0,right,right,-2.4106578826904297,0.7359167337417603
104,104,108,108,-0.0011111111380159855,-0.0008695652359165251,250.0,900.0,300.0,1150.0,right,right,-2.214698314666748,0.7000538110733032
105,105,109,109,-0.0005263157654553652,-0.0004761904710903764,250.0,1900.0,250.0,2100.0,right,right,-2.629892587661743,0.7366466522216797
106,106,110,110,-0.00039999998989515007,-0.00039999998989515007,300.0,2500.0,300.0,2500.0,right,right,-3.386366367340088,0.8089726567268372
107,107,111,111,-0.00039999998989515007,-0.00039999998989515007,350.0,2500.0,450.0,2500.0,right,right,-4.252354145050049,0.97211754322052
108,108,112,112,-0.00039999998989515007,-0.00039999998989515007,550.0,2500.0,700.0,2500.0,right,right,-5.612360000610352,2.0821421146392822
109,109,113,113,-0.00039999998989515007,-0.00039999998989515007,550.0,2500.0,800.0,2500.0,right,right,-5.593132019042969,1.6456438302993774
110,110,114,114,0.0,-0.00039999998989515007,2500.0,2500.0,850.0,2500.0,straight_open,right,-6.463010311126709,1.7356715202331543
111,111,115,115,0.0010526315309107304,0.0007692307699471712,950.0,550.0,1300.0,550.0,left,left,-3.7578938007354736,0.8633707761764526
112,112,116,116,0.0009523809421807528,0.0007692307699471712,1050.0,400.0,1300.0,350.0,left,left,-1.1166465282440186,0.844932496547699
113,113,117,117,0.0006666666595265269,0.0007692307699471712,1500.0,400.0,1300.0,400.0,left,left,2.1192057132720947,0.9364091753959656
114,114,118,118,0.0007692307699471712,0.0007692307699471712,1300.0,350.0,1300.0,400.0,left,left,3.690822124481201,0.699651300907135
115,115,119,119,0.0007142857066355646,0.0007999999797903001,1400.0,350.0,1250.0,450.0,left,left,6.847893714904785,0.9906453490257263
116,116,120,120,0.0012499999720603228,0.0009523809421807528,800.0,400.0,1050.0,450.0,left,left,6.316060543060303,0.9731237888336182
117,117,121,121,0.0013333333190530539,0.0010526315309107304,750.0,450.0,950.0,450.0,left,left,6.162472724914551,0.9909015893936157
118,118,122,122,0.0015384615398943424,0.001176470541395247,650.0,400.0,850.0,400.0,left,left,5.252377510070801,0.4273588955402374
119,119,123,123,0.0008695652359165251,0.0006896551931276917,1150.0,350.0,1450.0,400.0,left,left,4.972672462463379,0.8631465435028076
120,120,124,124,0.0006896551931276917,0.00039999998989515007,1450.0,250.0,2500.0,300.0,left,left,3.9566593170166016,0.80905681848526
121,121,125,125,0.00039999998989515007,0.00039999998989515007,2500.0,250.0,2500.0,300.0,left,left,4.58797550201416,0.8092250823974609
